chembl_id,canonical_smiles,standard_value
CHEMBL3344245,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)Nc1ccccc1F)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,41000.0
CHEMBL3344259,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=S)Nc1ccccc1F)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,38000.0
CHEMBL3344260,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)Nc1cccc(F)c1)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,43000.0
CHEMBL3344288,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)Nc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,35000.0
CHEMBL3344289,CC(C)[C@H](NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=S)Nc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1,33000.0
CHEMBL3344290,COc1ccccc1NC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,21000.0
CHEMBL3344291,COc1ccccc1NC(=S)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N1CCN(c2nsc3ccccc23)CC1)C(C)C,18000.0
CHEMBL3344292,COc1cccc(NC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)c1,23000.0
CHEMBL3344293,COc1cccc(NC(=S)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)c1,19000.0
CHEMBL3344294,COc1ccc(NC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)cc1,17000.0
CHEMBL3344295,COc1ccc(NC(=S)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N2CCN(c3nsc4ccccc34)CC2)C(C)C)cc1,15000.0
CHEMBL3600575,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2c(O)cc(O)cc2O)cc1,13000.0
CHEMBL3600652,Cc1ccc(/C=N/NC(=O)c2ccc(/C=C3/C(=O)Nc4ccc(Cl)cc43)cc2)cc1,49100.0
CHEMBL3600650,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)cc1,148500.0
CHEMBL3600649,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)cc1,92400.0
CHEMBL3600648,COc1ccc(O)c(/C=N/NC(=O)c2ccc(/C=C3/C(=O)Nc4ccc(Cl)cc43)cc2)c1,82000.0
CHEMBL3600647,COc1ccc(/C=N/NC(=O)c2ccc(/C=C3/C(=O)Nc4ccc(Cl)cc43)cc2)c(O)c1,145100.0
CHEMBL3600646,C/C(=N\NC(=O)c1ccc(/C=C2/C(=O)Nc3ccc(Cl)cc32)cc1)c1ccccc1O,71800.0
CHEMBL3600645,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccc(Cl)cc2)cc1,110500.0
CHEMBL3600644,COc1ccc(/C=N/NC(=O)c2ccc(/C=C3/C(=O)Nc4ccc(Cl)cc43)cc2)cc1,143600.0
CHEMBL3600643,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccccc2O)cc1,119800.0
CHEMBL3600642,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccc(O)cc2)cc1,84800.0
CHEMBL3600583,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cccc(O)c2)cc1,102300.0
CHEMBL3600582,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cccc(O)c2O)cc1,109400.0
CHEMBL3600581,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cc(O)cc(O)c2)cc1,19200.0
CHEMBL3600580,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2)cc1,70800.0
CHEMBL3600579,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cc(O)c(O)cc2O)cc1,125500.0
CHEMBL3600578,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2cc(O)ccc2O)cc1,53200.0
CHEMBL3600577,O=C1Nc2ccc(Cl)cc2/C1=C\c1ccc(C(=O)N/N=C/c2ccc(O)cc2O)cc1,42900.0
CHEMBL3600576,C/C(=N\NC(=O)c1ccc(/C=C2/C(=O)Nc3ccc(Cl)cc32)cc1)c1c(O)cc(O)cc1O,35400.0
CHEMBL3601773,O=C1NC(=S)NC(=O)C1=CNc1ccccc1S,15000.0
CHEMBL3601772,O=C1NC(=S)NC(=O)C1=CNc1ccccc1O,19700.0
CHEMBL3601771,O=C1NC(=S)NC(=O)C1=CNc1ccc(I)cc1,41330.0
CHEMBL3601770,O=C1NC(=S)NC(=O)C1=CNc1cc(Cl)cc(Cl)c1,89160.0
CHEMBL3601769,O=C1NC(=S)NC(=O)C1=CNc1cc([N+](=O)[O-])ccc1C(F)(F)F,28700.0
CHEMBL3601768,O=C1NC(=S)NC(=O)C1=CNc1ccc(C(F)(F)F)cc1,136400.0
CHEMBL3601767,O=C1NC(=S)NC(=O)C1=CNc1cccc(C(F)(F)F)c1,24560.0
CHEMBL3601766,O=C1NC(=S)NC(=O)C1=CNc1ccccc1C(F)(F)F,65300.0
CHEMBL3601765,O=C1NC(=O)C(=CNc2ccccc2S)C(=O)N1,52600.0
CHEMBL3601764,O=C1NC(=S)NC(=O)C1=CNc1cc(C(=O)O)ccc1Cl,26660.0
CHEMBL3601763,O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])c(C(=O)O)c1,39760.0
CHEMBL3601762,O=C1NC(=S)NC(=O)C1=CNc1cc(C(=O)O)ccc1O,18900.0
CHEMBL3601761,O=C1NC(=S)NC(=O)C1=CNc1cc([N+](=O)[O-])ccc1C(=O)O,8530.0
CHEMBL3601760,O=C1NC(=S)NC(=O)C1=CNc1ccc(C(=O)O)c(O)c1,32300.0
CHEMBL3601759,O=C1NC(=S)NC(=O)C1=CNc1ccc(C(=O)O)cc1,8930.0
CHEMBL3601758,O=C1NC(=S)NC(=O)C1=CNc1cccc(C(=O)O)c1,21830.0
CHEMBL3601757,O=C1NC(=S)NC(=O)C1=CNc1ccccc1C(=O)O,12960.0
CHEMBL3601756,O=C1NC(=O)C(=CNc2ccc([N+](=O)[O-])c(C(=O)O)c2)C(=O)N1,25800.0
CHEMBL3601372,O=C1NC(=O)C(=CNc2ccc(C(=O)O)c(O)c2)C(=O)N1,88300.0
CHEMBL3622694,FC(F)(F)c1ccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccc(Cl)cc2)cc1,4750.0
CHEMBL3622693,Fc1ccc(-n2c(-c3c(-c4ccc(C(F)(F)F)cc4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,160.0
CHEMBL3622691,Cc1ccc(-n2c(-c3c(-c4ccc(C(F)(F)F)cc4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,120.0
CHEMBL3622690,COc1ccc(-n2c(-c3c(-c4ccc(Br)cc4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,29120.0
CHEMBL3622689,Fc1ccc(-n2c(-c3c(-c4ccc(Br)cc4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,12130.0
CHEMBL3622688,Brc1ccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccc(Br)cc2)cc1,11350.0
CHEMBL3622687,Brc1ccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccccc2)cc1,4810.0
CHEMBL3622686,Clc1ccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccccc2)cc1,370.0
CHEMBL3622685,Fc1ccc(-n2c(-c3c(-c4ccc(Cl)cc4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,440.0
CHEMBL3622682,COc1ccc(-n2c(-c3c(-c4ccccc4)[nH]c4ccc(Br)cc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,4620.0
CHEMBL3622681,Clc1ccc(-n2c(-c3c(-c4ccccc4)[nH]c4ccc(Br)cc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,4660.0
CHEMBL3622680,Brc1ccc(-n2c(-c3c(-c4ccccc4)[nH]c4ccc(Br)cc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,150.0
CHEMBL3629551,S=C(Nc1ccccc1)Nc1ccccc1SSc1ccccc1NC(=S)Nc1ccccc1,15140.0
