chembl_id,canonical_smiles,standard_value
CHEMBL4245720,O=C(COc1ccc(Br)cc1)NO,
CHEMBL4239970,Cc1cc(C)cc(OCC(=O)NO)c1,
CHEMBL4238717,COc1ccc(OCC(=O)NO)cc1,
CHEMBL4247495,Cc1ccc(OCC(=O)NO)cc1,
CHEMBL4245159,Cc1cccc(OCC(=O)NO)c1,
CHEMBL4246997,Cc1ccccc1OCC(=O)NO,
CHEMBL569422,O=C(COc1ccccc1)NO,
CHEMBL4524305,C[C@H](c1ccccc1)n1[se]c2ccccc2c1=O,
CHEMBL4534596,C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,
CHEMBL4552531,O=C(O)CCn1[se]c2ccccc2c1=O,
CHEMBL4539240,CCC(CO)NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NC(CC)CO,
CHEMBL4461450,O=C(O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)O,
CHEMBL4471428,COC(=O)CNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCC(=O)OC,
CHEMBL4575318,COC(=O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)OC,
CHEMBL1976884,O=C(O)c1ccccc1[Se][Se]c1ccccc1C(=O)O,
CHEMBL4555455,O=C(Oc1ccccc1)c1ccccc1[Se][Se]c1ccccc1C(=O)Oc1ccccc1,
CHEMBL4555455,O=C(Oc1ccccc1)c1ccccc1[Se][Se]c1ccccc1C(=O)Oc1ccccc1,
CHEMBL3655716,O=c1[nH][se]c2ccccc12,
CHEMBL4524305,C[C@H](c1ccccc1)n1[se]c2ccccc2c1=O,
CHEMBL4469439,O=c1c2ccccc2[se]n1[C@H](CO)c1ccccc1,
CHEMBL4534596,C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,
CHEMBL4463967,CC(C)C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,
CHEMBL4520558,O=C(O)C[C@@H](C(=O)O)n1[se]c2ccccc2c1=O,
CHEMBL4552531,O=C(O)CCn1[se]c2ccccc2c1=O,
CHEMBL4444989,O=C(O)CCCn1[se]c2ccccc2c1=O,
CHEMBL4563580,CCC(C)[C@@H](C(=O)OC)n1[se]c2ccccc2c1=O,
CHEMBL4444060,COC(=O)[C@H](CC(C)C)n1[se]c2ccccc2c1=O,
CHEMBL4539240,CCC(CO)NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NC(CC)CO,
CHEMBL3747547,O=C(O)CNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCC(=O)O,
CHEMBL3747132,C[C@H](NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)N[C@@H](C)C(=O)O)C(=O)O,
CHEMBL4461450,O=C(O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)O,
CHEMBL4471428,COC(=O)CNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCC(=O)OC,
CHEMBL4575318,COC(=O)CCCNC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)NCCCC(=O)OC,
CHEMBL1976884,O=C(O)c1ccccc1[Se][Se]c1ccccc1C(=O)O,
CHEMBL4555455,O=C(Oc1ccccc1)c1ccccc1[Se][Se]c1ccccc1C(=O)Oc1ccccc1,
CHEMBL734,CC(=O)NO,
CHEMBL4552531,O=C(O)CCn1[se]c2ccccc2c1=O,
CHEMBL1976884,O=C(O)c1ccccc1[Se][Se]c1ccccc1C(=O)O,
CHEMBL4555455,O=C(Oc1ccccc1)c1ccccc1[Se][Se]c1ccccc1C(=O)Oc1ccccc1,
